id,label
0,0
1,0
2,9
3,7
4,2
5,6
6,8
7,7
8,5
9,2
10,8
11,6
12,2
13,2
14,0
15,5
16,0
17,9
18,4
19,6
20,4
21,1
22,2
23,8
24,7
25,8
26,6
27,0
28,3
29,1
30,4
31,1
32,4
33,1
34,9
35,6
36,3
37,6
38,0
39,7
40,0
41,6
42,3
43,3
44,6
45,3
46,3
47,5
48,0
49,4
50,2
51,8
52,7
53,2
54,8
55,3
56,4
57,7
58,1
59,5
60,5
61,3
62,9
63,2
64,4
65,9
66,3
67,7
68,3
69,0
70,7
71,7
72,8
73,6
74,6
75,7
76,7
77,6
78,0
79,7
80,7
81,4
82,2
83,1
84,2
85,9
86,6
87,5
88,7
89,5
90,0
91,2
92,4
93,3
94,3
95,3
96,3
97,8
98,4
99,9
100,6
101,8
102,4
103,7
104,4
105,4
106,1
107,1
108,4
109,8
110,2
111,6
112,4
113,5
114,1
115,2
116,6
117,2
118,6
119,4
120,9
121,8
122,0
123,3
124,4
125,6
126,8
127,8
128,0
129,0
130,1
131,8
132,6
133,6
134,6
135,4
136,0
137,4
138,8
139,0
140,0
141,2
142,1
143,1
144,5
145,9
146,5
147,5
148,7
149,3
150,7
151,1
152,0
153,6
154,8
155,1
156,5
157,0
158,2
159,7
160,5
161,0
162,2
163,3
164,2
165,8
166,6
167,4
168,3
169,1
170,1
171,5
172,0
173,4
174,6
175,5
176,2
177,5
178,9
179,9
180,9
181,5
182,5
183,0
184,5
185,7
186,1
187,1
188,1
189,0
190,4
191,8
192,8
193,9
194,5
195,8
196,3
197,9
198,5
199,0
200,2
201,5
202,0
203,3
204,5
205,6
206,6
207,9
208,6
209,7
210,0
211,6
212,8
213,0
214,1
215,8
216,2
217,4
218,0
219,7
220,9
221,3
222,0
223,7
224,8
225,6
226,0
227,3
228,4
229,9
230,4
231,2
232,2
233,3
234,3
235,8
236,0
237,1
238,1
239,8
240,7
241,3
242,2
243,8
244,8
245,9
246,3
247,0
248,7
249,4
250,5
251,1
252,8
253,0
254,9
255,6
256,9
257,2
258,9
259,5
260,1
261,8
262,5
263,3
264,5
265,7
266,8
267,7
268,6
269,9
270,0
271,1
272,8
273,6
274,8
275,0
276,2
277,3
278,9
279,0
280,5
281,7
282,1
283,0
284,0
285,5
286,2
287,4
288,8
289,4
290,8
291,9
292,5
293,0
294,0
295,3
296,1
297,1
298,2
299,1
300,9
301,0
302,4
303,1
304,5
305,7
306,8
307,7
308,2
309,9
310,2
311,5
312,9
313,6
314,2
315,6
316,6
317,2
318,6
319,3
320,4
321,3
322,8
323,6
324,4
325,4
326,9
327,5
328,8
329,7
330,5
331,3
332,0
333,4
334,5
335,0
336,8
337,9
338,1
339,3
340,3
341,5
342,1
343,4
344,6
345,9
346,3
347,6
348,6
349,3
350,4
351,5
352,5
353,7
354,1
355,5
356,8
357,9
358,8
359,1
360,3
361,5
362,0
363,5
364,9
365,2
366,6
367,4
368,7
369,1
370,1
371,2
372,0
373,7
374,8
375,3
376,6
377,1
378,7
379,5
380,6
381,1
382,4
383,2
384,2
385,6
386,1
387,5
388,3
389,0
390,0
391,4
392,8
393,6
394,2
395,8
396,6
397,3
398,2
399,8
400,5
401,2
402,4
403,2
404,2
405,7
406,6
407,0
408,2
409,0
410,4
411,9
412,0
413,7
414,7
415,6
416,7
417,6
418,4
419,2
420,4
421,1
422,4
423,7
424,8
425,4
426,9
427,4
428,2
429,9
430,2
431,4
432,7
433,1
434,5
435,9
436,8
437,1
438,5
439,1
440,4
441,1
442,1
443,5
444,7
445,7
446,6
447,9
448,6
449,3
450,3
451,1
452,3
453,6
454,6
455,8
456,8
457,6
458,5
459,6
460,5
461,5
462,9
463,2
464,0
465,1
466,0
467,4
468,0
469,2
470,2
471,7
472,6
473,8
474,8
475,1
476,0
477,7
478,2
479,6
480,9
481,1
482,6
483,7
484,3
485,9
486,2
487,9
488,4
489,5
490,5
491,5
492,9
493,0
494,2
495,7
496,4
497,3
498,9
499,1
500,7
501,1
502,3
503,4
504,8
505,8
506,2
507,0
508,2
509,3
510,3
511,4
512,7
513,2
514,9
515,4
516,7
517,3
518,6
519,5
520,7
521,8
522,9
523,2
524,3
525,7
526,8
527,3
528,2
529,2
530,3
531,6
532,4
